[0.007s][debug][gc,heap] Minimum heap 5368709120  Initial heap 5368709120  Maximum heap 12884901888
[0.007s][info ][gc,init] Initializing The Z Garbage Collector
[0.007s][info ][gc,init] Version: 25+37-LTS-jvmci-b01 (release)
[0.007s][info ][gc,init] NUMA Support: Disabled
[0.007s][info ][gc,init] CPUs: 20 total, 20 available
[0.007s][info ][gc,init] Memory: 31764M
[0.007s][info ][gc,init] Large Page Support: Disabled
[0.008s][info ][gc,init] Address Space Size: unlimited
[0.008s][debug][gc,init] Reserved Space: limit 4096G, desired 192G, requested 192G
[0.008s][info ][gc,init] Reserved Space Type: Contiguous/Unrestricted/Complete
[0.008s][info ][gc,init] Reserved Space Size: 192G
[0.008s][info ][gc,init] Heap Backing File: /memfd:java_heap
[0.008s][info ][gc,init] Heap Backing Filesystem: tmpfs (0x1021994)
[0.008s][info ][gc,init] Min Capacity: 5120M
[0.008s][info ][gc,init] Initial Capacity: 5120M
[0.008s][info ][gc,init] Max Capacity: 12288M
[0.008s][info ][gc,init] Soft Max Capacity: 12288M
[0.008s][info ][gc,init] Page Size Medium: Range [4M, 32M]
[0.008s][info ][gc,init] Pre-touch: Enabled
[0.008s][info ][gc,init] Available space on backing filesystem: N/A
[0.009s][info ][gc,init] Uncommit: Enabled
[0.009s][info ][gc,init] Uncommit Delay: 300s
[0.009s][info ][gc,init] GC Workers for Old Generation: 5 (dynamic)
[0.009s][info ][gc,init] GC Workers for Young Generation: 5 (dynamic)
[0.807s][debug][gc,task] Executing ZPreTouchTask using ZWorkerOld with 5 workers
[1.095s][info ][gc,init] GC Workers Max: 5 (dynamic)
[1.096s][info ][gc,init] Runtime Workers: 12
[1.096s][info ][gc     ] Using The Z Garbage Collector
[1.106s][info ][gc,metaspace] CDS archive(s) not mapped
[1.106s][info ][gc,metaspace] Compressed class space mapped at: 0x000000006c000000-0x00000000ac000000, reserved size: 1073741824
[1.106s][info ][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 0
[1.106s][info ][gc,metaspace] Narrow klass pointer bits 32, Max shift 3
[1.106s][info ][gc,metaspace] Narrow klass base: 0x0000000000000000, Narrow klass shift: 0
[1.106s][info ][gc,metaspace] Encoding Range: [0x0000000000000000 - 0x0000000100000000), (4294967296 bytes)
[1.107s][info ][gc,metaspace] Klass Range:    [0x000000006c000000 - 0x00000000ac000000), (1073741824 bytes)
[1.107s][info ][gc,metaspace] Klass ID Range:  [1811939328 - 2885681145) (1073741817)
[1.107s][info ][gc,metaspace] No protection zone.
[1,141s][debug][gc,heap     ] Uncommitter (0) Timeout: 300000ms
[1,143s][debug][gc,nmethod  ] Register NMethod: jdk.internal.util.ArraysSupport.unsignedHashCode (0x00007ab287400008) [0x00007ab287400100, 0x00007ab287400310] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,143s][debug][gc,nmethod  ] Rebuilding NMethod Table: 0->1024 entries, 0(0%->0%) registered, 0(0%->0%) unregistered
[1,143s][debug][gc,nmethod  ] Register NMethod: java.lang.Object.<init> (0x00007ab287400388) [0x00007ab287400480, 0x00007ab287400580] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,143s][debug][gc,nmethod  ] Register NMethod: java.lang.Byte.toUnsignedInt (0x00007ab287400688) [0x00007ab287400780, 0x00007ab287400868] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,143s][debug][gc,nmethod  ] Register NMethod: java.lang.String.hashCode (0x00007ab287400988) [0x00007ab287400a80, 0x00007ab287401028] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,146s][debug][gc,nmethod  ] Register NMethod: jdk.internal.misc.Unsafe.getReferenceVolatile (0x00007ab2a6be5008) [0x00007ab2a6be5100, 0x00007ab2a6be5430] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,150s][debug][gc,nmethod  ] Register NMethod: java.util.ImmutableCollections$SetN.probe (0x00007ab287401088) [0x00007ab287401180, 0x00007ab2874019a8] Compiler: c1, Barriers: 4, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,150s][debug][gc,nmethod  ] Register NMethod: java.lang.StringLatin1.equals (0x00007ab287401a08) [0x00007ab287401b00, 0x00007ab287401d68] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,150s][debug][gc,nmethod  ] Register NMethod: java.lang.Math.floorMod (0x00007ab287401d88) [0x00007ab287401e80, 0x00007ab287402010] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,150s][debug][gc,nmethod  ] Register NMethod: jdk.internal.util.ArraysSupport.hashCodeOfUnsigned (0x00007ab287402088) [0x00007ab287402180, 0x00007ab2874023f8] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,150s][debug][gc,nmethod  ] Register NMethod: jdk.internal.util.ArraysSupport.vectorizedHashCode (0x00007ab287402408) [0x00007ab287402500, 0x00007ab287404358] Compiler: c1, Barriers: 0, Oops: 1, ImmediateOops: 2, NonImmediateOops: No
[1,150s][debug][gc,nmethod  ] Register NMethod: java.util.Objects.requireNonNull (0x00007ab287404388) [0x00007ab287404480, 0x00007ab287404650] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,151s][debug][gc,nmethod  ] Register NMethod: java.util.ImmutableCollections$SetN.hashCode (0x00007ab287404688) [0x00007ab287404780, 0x00007ab287404bf0] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,151s][debug][gc,director ] Rule Major: Warmup 10%, Used: 6MB, UsedThreshold: 1228MB
[1,152s][debug][gc,nmethod  ] Register NMethod: java.lang.module.ModuleDescriptor.modsHashCode (0x00007ab287404c08) [0x00007ab287404d00, 0x00007ab287405ab8] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,152s][debug][gc,nmethod  ] Register NMethod: java.util.ImmutableCollections$SetN.<init> (0x00007ab287405b08) [0x00007ab287405c00, 0x00007ab2874074d0] Compiler: c1, Barriers: 8, Oops: 1, ImmediateOops: 3, NonImmediateOops: No
[1,152s][debug][gc,nmethod  ] Register NMethod: java.lang.String.equals (0x00007ab287407508) [0x00007ab287407600, 0x00007ab287407cc0] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,152s][debug][gc,nmethod  ] Register NMethod: java.util.ImmutableCollections$SetN.iterator (0x00007ab287407d08) [0x00007ab287407e00, 0x00007ab287407fa0] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,152s][debug][gc,nmethod  ] Register NMethod: java.util.Set.of (0x00007ab287408008) [0x00007ab287408100, 0x00007ab2874081e8] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 1, NonImmediateOops: No
[1,152s][debug][gc,nmethod  ] Register NMethod: java.util.ImmutableCollections$SetN$SetNIterator.hasNext (0x00007ab287408308) [0x00007ab287408400, 0x00007ab287408550] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,152s][debug][gc,nmethod  ] Register NMethod: java.lang.System.arraycopy (0x00007ab2a6be5488) [0x00007ab2a6be5580, 0x00007ab2a6be5700] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 1, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: java.util.ImmutableCollections$AbstractImmutableCollection.<init> (0x00007ab287408608) [0x00007ab287408700, 0x00007ab2874088b8] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: java.util.AbstractCollection.<init> (0x00007ab287408908) [0x00007ab287408a00, 0x00007ab287408b58] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: java.util.ImmutableCollections$SetN$SetNIterator.<init> (0x00007ab287408c08) [0x00007ab287408d00, 0x00007ab287409080] Compiler: c1, Barriers: 4, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: java.util.Objects.equals (0x00007ab287409088) [0x00007ab287409180, 0x00007ab287409508] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: java.lang.module.ModuleDescriptor$Exports.<init> (0x00007ab287409588) [0x00007ab287409680, 0x00007ab287409940] Compiler: c1, Barriers: 9, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: java.lang.String.coder (0x00007ab287409988) [0x00007ab287409a80, 0x00007ab287409ba8] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: java.lang.module.ModuleDescriptor.name (0x00007ab2a6be5788) [0x00007ab2a6be5880, 0x00007ab2a6be5968] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: java.util.ImmutableCollections$AbstractImmutableSet.<init> (0x00007ab287409c88) [0x00007ab287409d80, 0x00007ab287409f98] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: java.util.ImmutableCollections$ListN.get (0x00007ab28740a008) [0x00007ab28740a100, 0x00007ab28740a288] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: java.util.Objects.hashCode (0x00007ab28740a308) [0x00007ab28740a400, 0x00007ab28740a750] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: java.lang.module.ModuleDescriptor$Exports.hashCode (0x00007ab28740a788) [0x00007ab28740a880, 0x00007ab28740ae98] Compiler: c1, Barriers: 3, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: java.lang.String.length (0x00007ab28740af08) [0x00007ab28740b000, 0x00007ab28740b380] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: java.lang.String.isLatin1 (0x00007ab28740b388) [0x00007ab28740b480, 0x00007ab28740b5e0] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: jdk.internal.module.Builder.newExports (0x00007ab28740b688) [0x00007ab28740b780, 0x00007ab28740b8c0] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 1, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: java.util.Set.of (0x00007ab28740b988) [0x00007ab28740ba80, 0x00007ab28740c2f0] Compiler: c1, Barriers: 9, Oops: 0, ImmediateOops: 2, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: java.lang.module.ModuleDescriptor$1.newExports (0x00007ab28740c308) [0x00007ab28740c400, 0x00007ab28740c778] Compiler: c1, Barriers: 9, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: java.net.URI.hash (0x00007ab28740c788) [0x00007ab28740c880, 0x00007ab28740ce40] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: java.lang.StringLatin1.charAt (0x00007ab28740ce88) [0x00007ab28740cf80, 0x00007ab28740d140] Compiler: c1, Barriers: 0, Oops: 1, ImmediateOops: 1, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: java.lang.String.checkIndex (0x00007ab28740d188) [0x00007ab28740d280, 0x00007ab28740d3a8] Compiler: c1, Barriers: 0, Oops: 1, ImmediateOops: 1, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: java.lang.module.ModuleDescriptor$Exports.equals (0x00007ab28740d488) [0x00007ab28740d580, 0x00007ab28740e3f8] Compiler: c1, Barriers: 6, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: java.lang.String.charAt (0x00007ab28740e408) [0x00007ab28740e500, 0x00007ab28740ea90] Compiler: c1, Barriers: 2, Oops: 1, ImmediateOops: 1, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: java.lang.module.ModuleReference.descriptor (0x00007ab2a6be5a88) [0x00007ab2a6be5b80, 0x00007ab2a6be5c68] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: jdk.internal.util.Preconditions.checkIndex (0x00007ab28740eb08) [0x00007ab28740ec00, 0x00007ab28740ed88] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,155s][debug][gc,nmethod  ] Register NMethod: java.lang.StringLatin1.indexOfChar (0x00007ab28740ee08) [0x00007ab28740ef00, 0x00007ab28740f100] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,155s][debug][gc,nmethod  ] Register NMethod: java.lang.Object.getClass (0x00007ab2a6be5d88) [0x00007ab2a6be5e80, 0x00007ab2a6be61a0] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,156s][debug][gc,nmethod  ] Register NMethod: java.io.File.getPath (0x00007ab2a6be6208) [0x00007ab2a6be6300, 0x00007ab2a6be63e8] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,156s][debug][gc,nmethod  ] Register NMethod: jdk.internal.misc.Unsafe.getLong (0x00007ab2a6be6508) [0x00007ab2a6be6600, 0x00007ab2a6be6768] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,156s][debug][gc,nmethod  ] Register NMethod: java.lang.String.indexOf (0x00007ab28740f108) [0x00007ab28740f200, 0x00007ab28740f828] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,156s][debug][gc,nmethod  ] Register NMethod: java.lang.String.startsWith (0x00007ab28740f888) [0x00007ab28740f980, 0x00007ab287410c00] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,156s][debug][gc,nmethod  ] Register NMethod: java.lang.String.startsWith (0x00007ab287410c08) [0x00007ab287410d00, 0x00007ab287410ff8] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,156s][debug][gc,nmethod  ] Register NMethod: java.lang.StringLatin1.indexOf (0x00007ab287411008) [0x00007ab287411100, 0x00007ab287411588] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,157s][debug][gc,nmethod  ] Register NMethod: java.lang.String.isEmpty (0x00007ab287411608) [0x00007ab287411700, 0x00007ab287411888] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,157s][debug][gc,nmethod  ] Register NMethod: jdk.internal.misc.Unsafe.getInt (0x00007ab2a6be6808) [0x00007ab2a6be6900, 0x00007ab2a6be6a68] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,157s][debug][gc,nmethod  ] Register NMethod: jdk.internal.util.ArraysSupport.mismatch (0x00007ab287411908) [0x00007ab287411a00, 0x00007ab287411de0] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
