[0.005s][debug][gc,heap] Minimum heap 5368709120  Initial heap 5368709120  Maximum heap 12884901888
[0.005s][info ][gc,init] Initializing The Z Garbage Collector
[0.005s][info ][gc,init] Version: 25+37-LTS-jvmci-b01 (release)
[0.005s][info ][gc,init] NUMA Support: Disabled
[0.005s][info ][gc,init] CPUs: 20 total, 20 available
[0.005s][info ][gc,init] Memory: 31764M
[0.005s][info ][gc,init] Large Page Support: Disabled
[0.006s][info ][gc,init] Address Space Size: unlimited
[0.006s][debug][gc,init] Reserved Space: limit 4096G, desired 192G, requested 192G
[0.006s][info ][gc,init] Reserved Space Type: Contiguous/Unrestricted/Complete
[0.006s][info ][gc,init] Reserved Space Size: 192G
[0.006s][info ][gc,init] Heap Backing File: /memfd:java_heap
[0.006s][info ][gc,init] Heap Backing Filesystem: tmpfs (0x1021994)
[0.006s][info ][gc,init] Min Capacity: 5120M
[0.006s][info ][gc,init] Initial Capacity: 5120M
[0.006s][info ][gc,init] Max Capacity: 12288M
[0.006s][info ][gc,init] Soft Max Capacity: 12288M
[0.006s][info ][gc,init] Page Size Medium: Range [4M, 32M]
[0.006s][info ][gc,init] Pre-touch: Enabled
[0.006s][info ][gc,init] Available space on backing filesystem: N/A
[0.006s][info ][gc,init] Uncommit: Enabled
[0.006s][info ][gc,init] Uncommit Delay: 300s
[0.006s][info ][gc,init] GC Workers for Old Generation: 5 (dynamic)
[0.007s][info ][gc,init] GC Workers for Young Generation: 5 (dynamic)
[0.837s][debug][gc,task] Executing ZPreTouchTask using ZWorkerOld with 5 workers
[1.129s][info ][gc,init] GC Workers Max: 5 (dynamic)
[1.130s][info ][gc,init] Runtime Workers: 12
[1.130s][info ][gc     ] Using The Z Garbage Collector
[1.130s][info ][gc,metaspace] CDS archive(s) not mapped
[1.130s][info ][gc,metaspace] Compressed class space mapped at: 0x00000000b3000000-0x00000000f3000000, reserved size: 1073741824
[1.130s][info ][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 0
[1.130s][info ][gc,metaspace] Narrow klass pointer bits 32, Max shift 3
[1.130s][info ][gc,metaspace] Narrow klass base: 0x0000000000000000, Narrow klass shift: 0
[1.130s][info ][gc,metaspace] Encoding Range: [0x0000000000000000 - 0x0000000100000000), (4294967296 bytes)
[1.130s][info ][gc,metaspace] Klass Range:    [0x00000000b3000000 - 0x00000000f3000000), (1073741824 bytes)
[1.130s][info ][gc,metaspace] Klass ID Range:  [3003121664 - 4076863481) (1073741817)
[1.130s][info ][gc,metaspace] No protection zone.
[1,145s][debug][gc,heap     ] Uncommitter (0) Timeout: 300000ms
[1,146s][debug][gc,nmethod  ] Register NMethod: jdk.internal.util.ArraysSupport.unsignedHashCode (0x000072e47f400008) [0x000072e47f400100, 0x000072e47f400310] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,146s][debug][gc,nmethod  ] Rebuilding NMethod Table: 0->1024 entries, 0(0%->0%) registered, 0(0%->0%) unregistered
[1,146s][debug][gc,nmethod  ] Register NMethod: java.lang.Object.<init> (0x000072e47f400388) [0x000072e47f400480, 0x000072e47f400580] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,146s][debug][gc,nmethod  ] Register NMethod: java.lang.Byte.toUnsignedInt (0x000072e47f400688) [0x000072e47f400780, 0x000072e47f400868] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,147s][debug][gc,nmethod  ] Register NMethod: java.lang.String.hashCode (0x000072e47f400988) [0x000072e47f400a80, 0x000072e47f401028] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,148s][debug][gc,nmethod  ] Register NMethod: jdk.internal.misc.Unsafe.getReferenceVolatile (0x000072e49ebe5008) [0x000072e49ebe5100, 0x000072e49ebe5430] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,150s][debug][gc,nmethod  ] Register NMethod: java.util.ImmutableCollections$SetN.probe (0x000072e47f401088) [0x000072e47f401180, 0x000072e47f4019a8] Compiler: c1, Barriers: 4, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,150s][debug][gc,nmethod  ] Register NMethod: java.lang.StringLatin1.equals (0x000072e47f401a08) [0x000072e47f401b00, 0x000072e47f401d68] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,150s][debug][gc,nmethod  ] Register NMethod: java.lang.Math.floorMod (0x000072e47f401d88) [0x000072e47f401e80, 0x000072e47f402010] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,150s][debug][gc,nmethod  ] Register NMethod: jdk.internal.util.ArraysSupport.vectorizedHashCode (0x000072e47f402088) [0x000072e47f402180, 0x000072e47f403fd8] Compiler: c1, Barriers: 0, Oops: 1, ImmediateOops: 2, NonImmediateOops: No
[1,152s][debug][gc,nmethod  ] Register NMethod: java.util.ImmutableCollections$SetN.hashCode (0x000072e47f404008) [0x000072e47f404100, 0x000072e47f404570] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,152s][debug][gc,nmethod  ] Register NMethod: java.lang.module.ModuleDescriptor.modsHashCode (0x000072e47f404588) [0x000072e47f404680, 0x000072e47f405438] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: java.util.Objects.requireNonNull (0x000072e47f405488) [0x000072e47f405580, 0x000072e47f405750] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
