query,baseline_hot_s,candidate_hot_s,delta_s,delta_ln
25,0.088,0.1175,0.029500000000000002,0.2386739381100392
7,0.0198,0.0228,0.003,0.10047413183615905
6,0.0172,0.019799999999999998,0.0026,0.09146705280855925
17,0.038400000000000004,0.0424,0.003999999999999999,0.08112942744105607
10,0.1983,0.20929999999999999,0.011,0.05663633604859315
11,0.1649,0.1751,0.0102,0.05046797047083893
38,0.0382,0.0407,0.0025000000000000014,0.049451808729058876
37,0.0395,0.041299999999999996,0.0017999999999999995,0.03631765035981971
42,0.0354,0.037,0.0016,0.034861833710851255
19,0.010499999999999999,0.011,0.0004999999999999999,0.0235506999333543
26,0.0188,0.0194,0.0006000000000000005,0.02057888463252664
36,0.0623,0.0639,0.0016000000000000007,0.020227923811389957
15,0.4353,0.4438,0.008500000000000002,0.017001320331497947
13,1.1751,1.194,0.018900000000000028,0.015699207474019473
29,0.0308,0.0312,0.0004,0.011581367102814322
21,0.1016,0.1028,0.001200000000000001,0.010936748813645637
35,0.4075,0.4109,0.003400000000000003,0.007888026389049174
40,0.0236,0.0239,0.00030000000000000024,0.0059003470376602475
27,0.22590000000000002,0.2271,0.001200000000000001,0.004941868709119857
14,0.7299,0.7331,0.0032000000000000028,0.004264181889599783
34,2.0019,2.009,0.0071000000000000394,0.003465524146808163
24,0.017,0.0171,9.99999999999994e-05,0.0030865567016891138
33,2.0545999999999998,2.0577,0.0030999999999999695,0.0014207959392144253
8,0.6433,0.6437,0.00040000000000000034,0.0006560506843543923
0,0.001,0.001,-0.0,-0.0
4,0.3116,0.3108,-0.0008000000000000007,-0.002534932222270547
9,0.7292,0.7267,-0.0025000000000000022,-0.003424470690986059
12,0.7013,0.6935,-0.007800000000000029,-0.010752748434461034
28,6.0869,5.9828,-0.10409999999999994,-0.01728065641686829
23,0.1218,0.1193,-0.0024999999999999996,-0.017723841242630288
1,0.0328,0.032,-0.0007999999999999997,-0.017907386599108288
20,0.0282,0.0276,-0.0006000000000000009,-0.018143029852672226
16,1.4519,1.4235,-0.0284,-0.019622261336055002
31,0.9347,0.9081,-0.026600000000000013,-0.028255272109166472
5,0.671,0.6511,-0.019899999999999994,-0.02860170848584791
22,0.3125,0.3016,-0.010900000000000016,-0.03401932703767825
41,0.0368,0.0351,-0.0017000000000000001,-0.03650031303669658
18,2.4205,2.3202,-0.10030000000000001,-0.04212172006280518
3,0.0345,0.032,-0.002499999999999999,-0.0481685254617399
2,0.0477,0.0444,-0.0033,-0.0633749851860641
30,0.3287,0.307,-0.021700000000000018,-0.06629754050804401
32,3.5911,3.2748,-0.3163000000000001,-0.09190750974436557
39,0.1607,0.1426,-0.018100000000000005,-0.09888125289260948
