query,attempt,n,mean,sample_sd,min,max,spread,gc_affected_legs
2,1,20,0.56065,0.03733951624866355,0.459,0.6,0.14099999999999996,0
2,2,20,0.07325,0.01034598828939075,0.055,0.095,0.04,0
2,3,20,0.0471,0.00671917914786119,0.034,0.06,0.025999999999999995,0
2,4,20,0.03895,0.004297796252916016,0.031,0.047,0.016,0
2,5,20,0.0375,0.004071725355229776,0.029,0.044,0.014999999999999996,0
2,6,20,0.0395,0.005365582324800406,0.03,0.048,0.018000000000000002,0
2,7,20,0.0378,0.004479191656397037,0.03,0.045,0.015,0
2,8,20,0.03325,0.00373989867580168,0.029,0.042,0.013000000000000001,0
2,9,20,0.0343,0.0036863903325896627,0.029,0.04,0.011,0
2,10,20,0.0404,0.003362330019182343,0.035,0.046,0.010999999999999996,0
2,11,20,0.03735,0.002758241239783443,0.032,0.043,0.010999999999999996,0
2,12,20,0.0349,0.003322966334942004,0.03,0.041,0.011000000000000003,0
2,13,20,0.03825,0.004505844158306784,0.031,0.049,0.018000000000000002,0
2,14,20,0.0385,0.005826437026266793,0.03,0.051,0.020999999999999998,1
2,15,20,0.0417,0.016578680031261457,0.029,0.09,0.061,4
2,16,20,0.044199999999999996,0.018864056604530936,0.027,0.088,0.061,4
2,17,20,0.04385,0.018871518500807396,0.029,0.082,0.053000000000000005,4
2,18,20,0.04485,0.02102448447330923,0.027,0.087,0.06,5
2,19,20,0.0349,0.011461147182409016,0.025,0.081,0.056,1
2,20,20,0.035,0.01180989772227204,0.024,0.081,0.057,1
2,21,20,0.0328,0.004073017761342384,0.027,0.039,0.012,0
2,22,20,0.0328,0.004829732475973559,0.027,0.044,0.016999999999999998,0
2,23,20,0.03335,0.004891184336183448,0.026,0.041,0.015000000000000003,0
2,24,20,0.03485,0.0055845180727850776,0.026,0.044,0.018,0
2,25,20,0.032,0.0043286074094635975,0.027,0.046,0.019,0
2,26,20,0.03295,0.005276312508202157,0.025,0.042,0.017,0
2,27,20,0.03195,0.0033791154245795714,0.025,0.038,0.012999999999999998,0
2,28,20,0.0323,0.003867543760171578,0.027,0.039,0.012,0
2,29,20,0.031,0.004898979485566356,0.026,0.043,0.016999999999999998,0
