query,seg7t_hot_s,seg8t_hot_s,delta_s,delta_ln,status
q0,0.001,0.001,0.0,0.0,UNRESOLVED
q1,0.034,0.035,0.0010000000000000009,0.022472855852058576,UNRESOLVED
q2,0.056,0.052,-0.0040000000000000036,-0.06252035698133405,UNRESOLVED
q3,0.035,0.032,-0.0030000000000000027,-0.06899287148695156,UNRESOLVED
q4,0.305,0.335,0.030000000000000027,0.09097177820572679,UNRESOLVED
q5,0.656,0.697,0.040999999999999925,0.05974099535618352,UNRESOLVED
q6,0.028,0.013,-0.015000000000000001,-0.5020919437972361,UNRESOLVED
q7,0.016,0.02,0.004,0.14310084364067324,UNRESOLVED
q8,0.65,0.651,0.0010000000000000009,0.0015140048312150113,UNRESOLVED
q9,0.706,0.725,0.019000000000000017,0.026190332252191074,UNRESOLVED
q10,0.223,0.197,-0.025999999999999995,-0.1183196603003314,UNRESOLVED
q11,0.166,0.162,-0.0040000000000000036,-0.02298951822469872,UNRESOLVED
q12,0.686,0.677,-0.009000000000000008,-0.013015368112070361,UNRESOLVED
q13,1.181,1.196,0.014999999999999902,0.012515807931830597,UNRESOLVED
q14,0.711,0.77,0.05900000000000005,0.07865478239868852,UNRESOLVED
q15,0.436,0.438,0.0020000000000000018,0.004474280394921107,UNRESOLVED
q16,1.5,1.465,-0.03499999999999992,-0.02345166103504971,UNRESOLVED
q17,0.037,0.042,0.0050000000000000044,0.10109611687136881,UNRESOLVED
q18,2.972,2.371,-0.601,-0.22507364883782097,UNRESOLVED
q19,0.011,0.01,-0.0009999999999999992,-0.04879016416943183,UNRESOLVED
q20,0.027,0.029,0.0020000000000000018,0.05264373348542209,UNRESOLVED
q21,0.084,0.114,0.03,0.2769867833350329,UNRESOLVED
q22,0.299,0.298,-0.0010000000000000009,-0.0032414939241709557,UNRESOLVED
q23,0.128,0.124,-0.0040000000000000036,-0.02941388520629334,UNRESOLVED
q24,0.02,0.018,-0.0020000000000000018,-0.06899287148695156,UNRESOLVED
q25,0.092,0.137,0.04500000000000001,0.36545977349446535,UNRESOLVED
q26,0.024,0.018,-0.006000000000000002,-0.19415601444095765,UNRESOLVED
q27,0.251,0.232,-0.01899999999999999,-0.07558268116600696,UNRESOLVED
q28,6.039,6.214,0.1750000000000007,0.02851981775131346,UNRESOLVED
q29,0.033,0.03,-0.0030000000000000027,-0.07232066157962613,UNRESOLVED
q30,0.341,0.306,-0.03500000000000003,-0.10504400987895383,UNRESOLVED
q31,0.908,0.872,-0.03600000000000003,-0.04000533461369925,UNRESOLVED
q32,4.236,3.296,-0.94,-0.2502383638822319,UNRESOLVED
q33,2.152,2.111,-0.040999999999999925,-0.01914604363447106,UNRESOLVED
q34,2.027,2.034,0.006999999999999673,0.003430535096789001,UNRESOLVED
q35,0.395,0.4,0.0050000000000000044,0.012270092591814401,UNRESOLVED
q36,0.064,0.071,0.006999999999999992,0.09038406146826894,UNRESOLVED
q37,0.045,0.043,-0.0020000000000000018,-0.0370412716803491,UNRESOLVED
q38,0.039,0.044,0.0049999999999999975,0.09716374845364767,UNRESOLVED
q39,0.17,0.149,-0.02100000000000002,-0.124052648669979,UNRESOLVED
q40,0.03,0.024,-0.005999999999999998,-0.1625189294977748,UNRESOLVED
q41,0.033,0.038,0.0049999999999999975,0.11000089521432849,UNRESOLVED
q42,0.043,0.032,-0.010999999999999996,-0.23262229526875347,UNRESOLVED
