leg,classification,start_utc,end_utc,hot_seconds,sum_ln
flat50-01,pre-pause background activity not controlled,2026-09-08T04:11:48.263685+00:00,2026-09-08T04:14:44.803237+00:00,40.338,67.32844539152538
flat50-02,pre-pause background activity not controlled,2026-09-08T04:18:16.944255+00:00,2026-09-08T04:21:30.861079+00:00,42.289,69.84350669435975
flat50-04,resumed background activity not controlled,2026-09-08T07:21:27.170344+00:00,2026-09-08T07:24:22.457388+00:00,38.096000000000004,66.43743193111554
flat50-05,resumed background activity not controlled,2026-09-08T07:25:58.387377+00:00,2026-09-08T07:28:37.135973+00:00,38.24,65.29611695645988
flat50-06,resumed background activity not controlled,2026-09-08T07:29:17.574422+00:00,2026-09-08T07:31:54.257524+00:00,37.42,64.40941614566346
flat50-07,resumed background activity not controlled,2026-09-08T07:32:34.651638+00:00,2026-09-08T07:35:09.681840+00:00,38.074,65.25029888899145
flat50-08,resumed background activity not controlled,2026-09-08T07:36:00.154953+00:00,2026-09-08T07:38:36.442166+00:00,38.122,64.68971163112083
flat50-09,resumed background activity not controlled,2026-09-08T07:41:27.733462+00:00,2026-09-08T07:44:55.293422+00:00,45.393,67.96160787591457
flat50-10,resumed background activity not controlled,2026-09-08T07:45:35.710559+00:00,2026-09-08T07:48:36.553490+00:00,40.426,65.63980272491837
flat50-11,resumed background activity not controlled,2026-09-08T07:49:16.968739+00:00,2026-09-08T07:52:04.834738+00:00,38.261,65.42567978418806
flat50-12,resumed background activity not controlled,2026-09-08T07:52:50.249360+00:00,2026-09-08T07:55:36.774880+00:00,39.032,65.28543555799864
flat50-13,transition across quiet cutoff,2026-09-08T07:56:32.274828+00:00,2026-09-08T07:59:15.127015+00:00,37.9,65.92516515931493
