query,n,mean_hot_s,sample_sd_hot_s,min_hot_s,max_hot_s,mean_ln,sample_sd_ln,min_ln,max_ln
0,9,0.001,0.0,0.001,0.001,0.09531017980432474,0.0,0.09531017980432474,0.09531017980432474
1,9,0.03166666666666667,0.002121320343559642,0.029,0.036,1.3306798309711543,0.050066427197748536,1.265666373331276,1.4307461236907244
2,9,0.04677777777777778,0.00426549463068991,0.043,0.054,1.7341645029800052,0.07256840970687974,1.667706820558076,1.8562979903656263
3,9,0.04522222222222222,0.00882861509209935,0.034,0.059,1.292279139793396,0.15647576236449212,1.0761394328160512,1.5260563034950492
4,9,0.30477777777777776,0.008027729719194871,0.292,0.316,1.2972299652061283,0.025542616178370562,1.256079721121362,1.3325500851132
5,9,0.667,0.028866070047722098,0.644,0.721,2.0625383545517,0.04174822841240964,2.028760055203691,2.1400661634962708
6,9,0.02388888888888889,0.005840471822645078,0.016,0.032,1.2068987024979436,0.17634131208016712,0.9555114450274363,1.4350845252893227
7,9,0.031222222222222224,0.023951919431319996,0.016,0.094,0.9871954191232027,0.4043953735193701,0.6190392084062235,2.005333569526114
8,9,0.6857777777777778,0.04894583173718107,0.661,0.814,1.4072303138926785,0.06553978037513926,1.37297069992142,1.5783720928592098
9,9,0.7786666666666666,0.03229163978493504,0.736,0.826,1.2015420384831144,0.04080055963729003,1.1466654590686296,1.2605684719495702
10,9,0.2614444444444445,0.02323849775217361,0.228,0.31,2.045253780146645,0.08365377187035933,1.916922612182061,2.2129729343043585
11,9,0.2391111111111111,0.019611504560107334,0.215,0.286,1.877732051404135,0.07501075101822513,1.7785142424780345,2.0527732945976744
12,9,0.7773333333333333,0.02114828598255662,0.75,0.81,1.5266695641852734,0.026730510824732396,1.4916548767777167,1.567640783755639
13,9,2.7495555555555558,0.4711563198958259,2.362,3.894,2.146409887713602,0.15349571360451372,2.0062976573327713,2.5045658447481385
14,9,0.9333333333333333,0.032124756808418004,0.89,0.983,1.5862152727306784,0.03399651505098951,1.539704574419425,1.638040475140287
15,9,0.4507777777777778,0.046617533658961874,0.432,0.575,1.060055222448232,0.09108314708073419,1.0224056798574666,1.3027076450116248
16,9,2.0354444444444444,0.05106395771753087,1.954,2.124,2.3098881653310417,0.024914164299392683,2.2695325098726236,2.3525474528199113
17,9,0.049999999999999996,0.009886859966642592,0.04,0.072,1.7807681477742152,0.15382813783279062,1.6094379124341003,2.1041341542702074
18,9,3.933333333333333,0.029368350311176815,3.883,3.974,1.5274865874372536,0.007459583965216509,1.5146649714687137,1.5377712425627468
19,9,0.013,0.0016583123951777,0.01,0.015,0.8305129655420501,0.07410408714853682,0.6931471805599453,0.9162907318741551
20,9,0.030444444444444444,0.006287112037953338,0.023,0.045,-0.5440003766002963,0.14572597844290064,-0.737598943130779,-0.22677331936478834
21,9,0.18511111111111112,0.025072118201522407,0.13,0.218,1.7100195977132875,0.13990299798247094,1.3862943611198906,1.873997567465027
