leg,query,chosen_try,hot_s,ln,cpu_s,busy_cores,gc_count,gc_pause_s
quiet50-01,0,2,0.001,0.09531017980432474,0.0,0.0,0.0,0.0
quiet50-01,1,3,0.028,1.2396908869280152,0.2,6.2,0.0,0.0
quiet50-01,2,3,0.042,1.6486586255873816,0.4,9.7,0.0,0.0
quiet50-01,3,3,0.034,1.0761394328160512,0.3,10.0,0.0,0.0
quiet50-01,4,3,0.311,1.3170938268765082,4.0,13.0,0.0,0.0
quiet50-01,5,3,0.654,2.0439348532229262,6.8,10.4,2.0,0.03
quiet50-01,6,3,0.014,0.8754687373538999,0.1,6.4,0.0,0.0
quiet50-01,7,3,0.021,0.7949298748698876,0.2,9.2,0.0,0.0
quiet50-01,8,2,0.74,1.4842747694800942,10.4,14.0,1.0,0.02
quiet50-01,9,3,0.758,1.175729592012541,11.7,15.4,0.0,0.0
quiet50-01,10,3,0.248,1.9976115234322036,1.6,6.4,2.0,0.0
quiet50-01,11,3,0.243,1.8958033290011345,1.5,6.3,1.0,0.02
quiet50-01,12,2,0.749,1.49033822089297,9.8,13.0,1.0,0.03
quiet50-01,13,3,2.797,2.174680473577038,33.5,12.0,10.0,0.7
quiet50-01,14,3,0.924,1.576786249323957,13.2,14.3,3.0,0.02
quiet50-01,15,3,0.438,1.0358890301947536,8.1,18.5,0.0,0.0
quiet50-01,16,3,1.985,2.2851933502821766,28.4,14.3,1.0,0.01
quiet50-01,17,2,0.053,1.840549633397487,0.4,7.1,0.0,0.0
quiet50-01,18,3,3.891,1.5167178333649143,63.9,16.4,3.0,0.01
quiet50-01,19,3,0.009,0.6418538861723947,0.0,2.2,0.0,0.0
quiet50-01,20,3,0.033,-0.4729063889036968,0.4,12.9,0.0,0.0
quiet50-01,21,3,0.194,1.7627719323548026,2.3,11.9,0.0,0.0
quiet50-01,22,2,0.333,2.4037432426807936,2.7,8.1,0.0,0.0
quiet50-01,23,3,0.113,1.285823830756256,0.4,3.3,0.0,0.0
quiet50-01,24,2,0.015,0.9162907318741551,0.0,2.7,0.0,0.0
quiet50-01,25,3,0.091,2.312535423847214,0.6,7.0,0.0,0.0
quiet50-01,26,2,0.022,1.1631508098056809,0.1,2.3,0.0,0.0
quiet50-01,27,2,0.207,0.8366025712704557,3.6,17.4,0.0,0.0
quiet50-01,28,3,8.468,1.8697401382883605,76.2,9.0,21.0,0.45
quiet50-01,29,3,0.031,1.0055218656020977,0.3,8.7,0.0,0.0
quiet50-01,30,2,0.528,1.7445637778917806,9.1,17.3,0.0,0.0
quiet50-01,31,3,1.455,2.355136588320476,25.1,17.3,3.0,0.04
quiet50-01,32,3,6.823,2.9773166150063037,127.0,18.6,0.0,0.0
quiet50-01,33,3,2.235,2.129212141776105,31.4,14.1,5.0,0.07
quiet50-01,34,3,2.155,2.0929269820363405,29.8,13.8,2.0,0.04
quiet50-01,35,3,0.394,1.1110657497393963,7.3,18.4,0.0,0.0
quiet50-01,36,3,0.08,1.5040773967762742,0.4,4.4,0.0,0.0
quiet50-01,37,3,0.047,1.3350010667323402,0.2,4.9,0.0,0.0
quiet50-01,38,3,0.04,1.3470736479666092,0.2,5.0,0.0,0.0
quiet50-01,39,3,0.216,1.9865477947871397,2.1,9.5,0.0,0.0
quiet50-01,40,3,0.029,1.1786549963416462,0.2,6.9,0.0,0.0
quiet50-01,41,2,0.037,1.2851982442485217,0.2,5.1,0.0,0.0
quiet50-01,42,3,0.034,1.1451323043030026,0.2,5.8,0.0,0.0
quiet50-02,0,2,0.001,0.09531017980432474,0.0,7.2,0.0,0.0
quiet50-02,1,3,0.036,1.4307461236907244,0.3,7.7,0.0,0.0
quiet50-02,2,3,0.037,1.547562508716013,0.3,9.3,0.0,0.0
quiet50-02,3,3,0.042,1.2431935174792175,0.4,8.3,0.0,0.0
quiet50-02,4,3,0.337,1.3949774836933517,4.0,12.0,0.0,0.0
