query,n,mean_hot_s,sample_sd_hot_s,min_hot_s,max_hot_s,mean_ln,sample_sd_ln,min_ln,max_ln,ln_range,dip_p,dip_p_holm_45,modality,sequence_rho,sequence_p,cov_with_suite_ln,variance_share
0,20,0.0010500000000000002,0.00022360679774997898,0.001,0.002,0.09966074865380624,0.019456335376467338,0.09531017980432474,0.1823215567939546,0.08701137698962985,1.0,1,unimodality not rejected; not proof at n=20,-0.01989286700048564,0.9336582752769403,-0.0002731422268998548,-0.00034818037270478285
1,20,0.03325000000000001,0.003931987578285246,0.027,0.041,1.3651768980142078,0.09092381798829531,1.213022639845854,1.5339303599259553,0.3209077200801014,0.018906780721178462,0.8129915710106739,unimodality rejected (unadjusted p < .05),0.25939553232544954,0.26942132834343646,0.01805022448582025,0.023009016072722193
2,20,0.044550000000000006,0.007479621437085255,0.035,0.057,1.6877794858229014,0.13511683336123265,1.5040773967762742,1.9021075263969205,0.3980301296206463,0.46150363916101667,1,unimodality not rejected; not proof at n=20,0.05815769687886113,0.8075810768589603,0.04725332198811795,0.060234843393124446
3,20,0.04315000000000001,0.0203451145047288,0.033,0.126,1.2247106104173164,0.2553259707187061,1.0531499145913525,2.2046046846338423,1.1514547700424898,0.46150363916101833,1,unimodality not rejected; not proof at n=20,0.07727494479033417,0.7460768204549872,0.07861216177869719,0.1002086425738591
4,20,0.31135,0.012201272582463651,0.293,0.339,1.317508393645553,0.03757479828977644,1.2593855092558615,1.4007246259489197,0.1413391166930582,0.9219180662917323,1,unimodality not rejected; not proof at n=20,0.03161462308761374,0.8947362319945891,-0.007577101648961128,-0.009658697251247727
5,20,0.65655,0.01760823670899503,0.613,0.702,2.047436772370472,0.02639839557566831,1.9801992225339455,2.113730615158468,0.13353139262452252,0.7878455581839751,1,unimodality not rejected; not proof at n=20,-0.008280020332470264,0.972362449704623,-0.002032007297305279,-0.0025902441601385606
6,20,0.021500000000000002,0.005862458618415279,0.011,0.031,1.1298185144847988,0.19581682640883788,0.7419373447293771,1.410986973710262,0.6690496289808849,0.8384696131661675,1,unimodality not rejected; not proof at n=20,-0.25028357004518187,0.28719850116043105,0.11777189354064929,0.1501264094261255
7,20,0.021900000000000003,0.0057114842757009275,0.012,0.032,0.8083787200741307,0.1787658544347965,0.4519851237430572,1.0986122886681098,0.6466271649250526,0.2850989222855459,1,unimodality not rejected; not proof at n=20,-0.105701175575374,0.657390665707323,0.029725009207717284,0.037891119590200605
8,20,0.6706000000000001,0.021034808244781704,0.652,0.74,1.3867420477345016,0.029909503595737148,1.3594671188867464,1.4842747694800942,0.12480765059334775,0.9724740030345471,1,unimodality not rejected; not proof at n=20,-0.10931059535105835,0.6464109026215612,-0.0030330292533185814,-0.0038662687488162026
9,20,0.7621500000000001,0.022131841790791664,0.729,0.809,1.1807344749142659,0.02833110184143759,1.1372377798130706,1.2400239427179383,0.10278616290486764,0.8172405564478064,1,unimodality not rejected; not proof at n=20,0.2727964770786984,0.24455945707069246,0.002098103679162569,0.002674498664214002
10,20,0.2822,0.031344604169239655,0.237,0.343,2.1166758714759144,0.10657639250785068,1.9540402751385633,2.311119995443883,0.35707972030531976,0.33764582830642675,1,unimodality not rejected; not proof at n=20,0.27389022049942763,0.2425976275837411,0.02161057462127627,0.027547472287246307
11,20,0.23865000000000003,0.010629031742801115,0.211,0.266,1.8775851777777794,0.043027754436970676,1.760576541791367,1.9828147059907644,0.22223816419939735,0.08248776265729907,1,unimodality not rejected; not proof at n=20,-0.061086250788339284,0.7980788407086586,0.006501885439432665,0.008288095624319118
12,20,0.7685,0.011936234088292948,0.749,0.798,1.515594096626123,0.015299314132653055,1.49033822089297,1.5528985020184356,0.06256028112546552,0.6247813129739461,1,unimodality not rejected; not proof at n=20,0.019585722113589252,0.9346804774254978,0.002904139730870625,0.0037019704545794615
13,20,2.5538999999999996,0.19533935383812126,2.29,2.837,2.0813633797662754,0.0756248584979022,1.9754732991323964,2.188829984493193,0.21335668536079644,0.016100229024445967,0.7084100770756225,unimodality rejected (unadjusted p < .05),-0.544360902255639,0.013082608661519588,0.008093064937185413,0.010316406943501876
14,20,0.9331000000000002,0.03310891118717132,0.885,1.005,1.5859047235628996,0.034746782562041736,1.5341335293699698,1.659953702571002,0.12582017320103223,0.2722342041538137,1,unimodality not rejected; not proof at n=20,0.20609253055801727,0.38334971281174024,0.004573008461008653,0.00582931393804553
15,20,0.43565,0.007734236940554103,0.428,0.458,1.0304892198945503,0.017118243028953168,1.0133147081562146,1.0795640936974154,0.06624938554120074,0.7878455581839751,1,unimodality not rejected; not proof at n=20,-0.3342154303691769,0.14980574688873405,-9.480960116146817e-05,-0.00012085587293866113
16,20,2.0165,0.03275346506377929,1.975,2.088,2.300736125823911,0.016090121075376915,2.2801682140795037,2.335533809914455,0.055365595834951264,0.7531486626144659,1,unimodality not rejected; not proof at n=20,-0.018811141517817834,0.9372587757391008,0.0045263545729804225,0.005769843206236082
17,20,0.04880000000000001,0.006118135250823442,0.041,0.064,1.7666666520367411,0.10026039231813644,1.6292405397302803,2.001480000210124,0.3722394604798436,0.6821067682713335,1,unimodality not rejected; not proof at n=20,-0.07915594835766294,0.7400979930128078,0.03148238566070934,0.04013128580444812
18,20,3.9228499999999995,0.042456510256471826,3.854,4.008,1.5247940919183018,0.010767440046778303,1.5071878191906667,1.5462691692331376,0.03908135004247093,0.9724740030345471,1,unimodality not rejected; not proof at n=20,-0.05791651406192455,0.8083648158239175,4.8495455713091375e-06,6.1818218428977085e-06
19,20,0.012250000000000002,0.001743408639479146,0.009,0.015,0.7967788978232322,0.07962943161844661,0.6418538861723947,0.9162907318741551,0.2744368457017604,0.08248776265729907,1,unimodality not rejected; not proof at n=20,0.11222682050706984,0.6375908024125497,0.045094794894101085,0.057483321679992504
20,20,0.031450000000000006,0.006345118305893869,0.021,0.049,-0.5202788765274404,0.1486822026078014,-0.8001193001121131,-0.15656906069153978,0.6435502394205733,0.46150363916101833,1,unimodality not rejected; not proof at n=20,-0.3238986022988246,0.1635763113470812,0.04344171140819338,0.055376099992712
21,20,0.18475,0.023151389636591215,0.108,0.207,1.7081917440316374,0.13824810022490183,1.215336562976251,1.8245492920510458,0.6092127290747948,0.8248223624186508,1,unimodality not rejected; not proof at n=20,0.11738152307118328,0.6221151716120766,0.05458250230736486,0.06957750990111763
22,20,0.32900000000000007,0.026830854195163175,0.281,0.398,2.389064836792876,0.07867166591422625,2.2393360626863466,2.5772799699190156,0.3379439072326691,0.6115523617514722,1,unimodality not rejected; not proof at n=20,-0.08721804511278194,0.7146383646582315,0.013958635160451134,0.017793377639839934
23,20,0.11915,0.018697804543230254,0.07,0.142,1.3226524123008019,0.1665779633356869,0.8556661100577203,1.497519996230115,0.6418538861723946,0.682106768271334,1,unimodality not rejected; not proof at n=20,0.08957476541490558,0.7072491350613085,0.03410908601729013,0.04347959821852755
24,20,0.017750000000000005,0.0017733405882980472,0.015,0.021,1.018739149604019,0.06321576840366833,0.9162907318741551,1.1314021114911006,0.2151113796169455,0.08248776265729807,1,unimodality not rejected; not proof at n=20,0.07643370398763231,0.7487552809548723,0.042445087955739244,0.05410568227275603
25,20,0.10625000000000002,0.027988484474117115,0.075,0.207,2.4316669063283185,0.2012601656630533,2.1400661634962708,3.077312260546414,0.9372460970501431,0.6621674794722433,1,unimodality not rejected; not proof at n=20,0.07295976446761925,0.75984515838612,0.02822739423234965,0.03598207701479922
26,20,0.022600000000000002,0.0034089665049071615,0.018,0.031,1.1768039683900946,0.10053991818734358,1.0296194171811581,1.410986973710262,0.3813675565291039,0.08248776265729907,1,unimodality not rejected; not proof at n=20,-0.23374512768032513,0.32126535817955626,-0.016958996776172772,-0.021618004236276456
27,20,0.2048,0.00580018148536387,0.194,0.22,0.8260705756823435,0.026751022764213043,0.7748252115742126,0.8947845266531916,0.11995931507897906,0.9724740030345471,1,unimodality not rejected; not proof at n=20,-0.24877526701842373,0.2902092695989728,0.0060588659785182075,0.0077233690246739355
