query,n,mean_hot_s,sample_sd_hot_s,min_hot_s,max_hot_s,mean_ln,sample_sd_ln,ln_range,modality
0,3,0.0013333333333333333,0.0005773502691896258,0.001,0.002,0.12431397213420135,0.050236041927522804,0.08701137698962985,indeterminate: series stopped at n=3 by thermal re-plan
1,3,0.03133333333333334,0.00321455025366432,0.029,0.035,1.3218059238729305,0.07636719009740017,0.14310084364067333,indeterminate: series stopped at n=3 by thermal re-plan
2,3,0.049999999999999996,0.01212435565298214,0.037,0.061,1.7774021949381096,0.21026853336181442,0.4125322753312568,indeterminate: series stopped at n=3 by thermal re-plan
3,3,0.03266666666666667,0.0020816659994661348,0.031,0.035,1.0445845238171219,0.04831586208608516,0.09309042306601212,indeterminate: series stopped at n=3 by thermal re-plan
4,3,0.29733333333333334,0.013316656236958798,0.286,0.312,1.272965604171389,0.043028084376999336,0.08419209122034821,indeterminate: series stopped at n=3 by thermal re-plan
5,3,0.6826666666666666,0.03914502948438449,0.638,0.711,2.0851144904696093,0.057402946934730095,0.10674844093267444,indeterminate: series stopped at n=3 by thermal re-plan
6,3,0.018333333333333333,0.0020816659994661326,0.016,0.02,1.0396114902293248,0.07477928860135329,0.14310084364067344,indeterminate: series stopped at n=3 by thermal re-plan
7,3,0.04433333333333333,0.038759944960401235,0.014,0.088,1.1864737956256832,0.710107475351744,1.4069136483226263,indeterminate: series stopped at n=3 by thermal re-plan
8,3,0.651,0.039281038682804685,0.617,0.694,1.3567913825222768,0.05892614011635834,0.11583181552512167,indeterminate: series stopped at n=3 by thermal re-plan
9,3,0.7753333333333333,0.0988753423930018,0.693,0.885,1.1928945241074993,0.12354683260670699,0.2414668264641906,indeterminate: series stopped at n=3 by thermal re-plan
10,3,0.32466666666666666,0.1016579231212862,0.239,0.437,2.2280223631945364,0.29616801051555697,0.5851056981488614,indeterminate: series stopped at n=3 by thermal re-plan
11,3,0.26166666666666666,0.033381631675718504,0.239,0.3,1.9621480530814348,0.11931327965928192,0.21911940101448435,indeterminate: series stopped at n=3 by thermal re-plan
12,3,0.778,0.049789557138018394,0.736,0.833,1.5265216393503278,0.06254449599095421,0.12224135779809475,indeterminate: series stopped at n=3 by thermal re-plan
13,3,2.739,0.4280385496657982,2.376,3.211,2.145927213258296,0.1526673737432391,0.3000735466733371,indeterminate: series stopped at n=3 by thermal re-plan
14,3,0.9886666666666667,0.017473789896108226,0.974,1.008,1.6436292447015461,0.017442073829572587,0.03396930005821486,indeterminate: series stopped at n=3 by thermal re-plan
15,3,0.426,0.005567764362830027,0.42,0.431,1.0086835575231166,0.01279212615012055,0.025259666759237964,indeterminate: series stopped at n=3 by thermal re-plan
16,3,2.0973333333333333,0.034078341117685526,2.062,2.13,2.339885333580007,0.016188146009120715,0.03229150463652353,indeterminate: series stopped at n=3 by thermal re-plan
17,3,0.04466666666666667,0.0020816659994661348,0.043,0.047,1.6981906496562698,0.03778576426828172,0.07275935428242852,indeterminate: series stopped at n=3 by thermal re-plan
18,3,4.120333333333334,0.1896900981425583,4.0,4.339,1.5731514714080772,0.04535783018857267,0.08115469229702388,indeterminate: series stopped at n=3 by thermal re-plan
19,3,0.011666666666666667,0.0015275252316519464,0.01,0.013,0.7715045546197731,0.071406570783628,0.1397619423751586,indeterminate: series stopped at n=3 by thermal re-plan
20,3,0.027333333333333334,0.0028867513459481294,0.024,0.029,-0.6162785656387745,0.0792131044389291,0.13720112151348496,indeterminate: series stopped at n=3 by thermal re-plan
21,3,0.26166666666666666,0.11980957112573826,0.191,0.4,1.9905126257111347,0.40735604908312617,0.7128522516392779,indeterminate: series stopped at n=3 by thermal re-plan
22,3,0.44566666666666666,0.18843124298622388,0.328,0.663,2.6359201141747794,0.38352135533575177,0.688699434161709,indeterminate: series stopped at n=3 by thermal re-plan
