leg,query,try,wall_s,observed_epoch_s,package_C_after_line,mean_reported_MHz_P,mean_reported_MHz_E,cpu0_package_throttle_count
cool-01,0,1,0.05,1788839584.022913,96.0,1754.6649166666666,1913.532375,26031406
cool-01,0,2,0.003,1788839584.026822,96.0,2177.604333333333,2314.561,26031406
cool-01,0,3,0.002,1788839584.0289295,96.0,2299.1114166666666,2314.57175,26031406
cool-01,1,1,0.309,1788839584.3394265,100.0,3634.4415833333333,2595.330375,26031429
cool-01,1,2,0.039,1788839584.3792717,97.0,3503.781,3210.785875,26031432
cool-01,1,3,0.033,1788839584.4135613,80.0,3597.1471666666666,3288.232375,26031438
cool-01,2,1,0.251,1788839584.667021,98.0,3403.6388333333334,3152.273125,26031445
cool-01,2,2,0.06,1788839584.7294264,100.0,3505.18225,2732.55925,26031448
cool-01,2,3,0.036,1788839584.7674184,98.0,3678.485583333333,3186.965625,26031452
cool-01,3,1,0.954,1788839585.7222695,93.0,3353.439,2808.74425,26031487
cool-01,3,2,0.085,1788839585.8083336,92.0,3188.84075,2404.07325,26031492
cool-01,3,3,0.029,1788839585.8378053,96.0,3790.3975,3316.627875,26031494
cool-01,4,1,0.374,1788839586.2137403,96.0,2147.2861666666668,2129.93475,26031516
cool-01,4,2,0.468,1788839586.6830726,97.0,2306.2189166666667,1472.7345,26031546
cool-01,4,3,0.276,1788839586.9598665,97.0,1862.3193333333334,1145.136,26031565
cool-01,5,1,2.758,1788839589.7194037,97.0,3354.5311666666666,2454.995625,26031821
cool-01,5,2,0.716,1788839590.4364502,99.0,3562.2781666666665,2838.864625,26031879
cool-01,5,3,0.601,1788839591.0380354,96.0,3443.7444166666664,2549.897375,26031939
cool-01,6,1,0.044,1788839591.0837789,100.0,2789.7475,1817.834125,26031944
cool-01,6,2,0.023,1788839591.107668,100.0,2383.749083333333,1228.0384999999999,26031948
cool-01,6,3,0.022,1788839591.130485,88.0,2664.9151666666667,1745.462375,26031949
cool-01,7,1,0.23,1788839591.360526,99.0,3021.06625,3073.92675,26031975
cool-01,7,2,0.034,1788839591.395228,100.0,3325.220083333333,2800.26525,26031978
cool-01,7,3,0.022,1788839591.4177506,100.0,3275.7234166666667,2926.293125,26031980
cool-01,8,1,1.667,1788839593.0855265,100.0,3875.2336666666665,2012.911625,26032123
cool-01,8,2,0.595,1788839593.6818817,100.0,3676.0371666666665,2968.158125,26032174
cool-01,8,3,0.602,1788839594.285253,97.0,3267.896166666667,2917.633875,26032239
cool-01,9,1,1.001,1788839595.2877162,100.0,2828.191333333333,2434.575,26032326
cool-01,9,2,0.753,1788839596.0413406,100.0,1812.06925,1732.69825,26032398
cool-01,9,3,0.669,1788839596.711938,100.0,2877.237666666667,1430.399,26032453
cool-01,10,1,1.79,1788839598.5031238,100.0,3522.902666666667,2956.1552500000003,26032580
cool-01,10,2,0.426,1788839598.9304304,100.0,3088.941083333333,2520.636375,26032620
cool-01,10,3,0.241,1788839599.1726067,92.0,2202.7801666666664,2576.396875,26032634
cool-01,11,1,1.665,1788839600.83917,100.0,3215.60425,2910.271,26032797
cool-01,11,2,0.249,1788839601.0892146,93.0,2179.3503333333333,2250.754,26032822
cool-01,11,3,0.242,1788839601.332237,100.0,2331.0423333333333,2465.2243750000002,26032833
cool-01,12,1,1.555,1788839602.88866,92.0,2751.2250833333333,2269.147375,26032987
cool-01,12,2,0.721,1788839603.6106749,93.0,2875.7139166666666,2490.266375,26033066
cool-01,12,3,0.736,1788839604.3474827,85.0,3146.7765,2685.708875,26033135
cool-01,13,1,2.624,1788839606.972189,94.0,3500.2033333333334,2708.9856250000003,26033422
cool-01,13,2,2.708,1788839609.6812615,93.0,2531.21175,2774.340625,26033710
cool-01,13,3,2.445,1788839612.1275527,96.0,3067.4958333333334,2364.568125,26033992
cool-01,14,1,1.959,1788839614.0878272,98.0,2567.1464166666665,2482.914125,26034188
cool-01,14,2,1.052,1788839615.1411934,97.0,2561.54525,1204.2455,26034292
cool-01,14,3,0.884,1788839616.0258992,91.0,2864.9439166666666,2386.130625,26034420
cool-01,15,1,1.136,1788839617.16345,92.0,2830.40775,2364.959625,26034559
cool-01,15,2,0.456,1788839617.6208656,92.0,2776.5690833333333,2504.9230000000002,26034622
cool-01,15,3,0.422,1788839618.0438414,94.0,2335.985166666667,2414.409875,26034672
cool-01,16,1,3.981,1788839622.025678,89.0,2854.2930833333335,2484.260375,26035091
cool-01,16,2,2.009,1788839624.0359118,96.0,2907.061,2736.646,26035335
cool-01,16,3,2.005,1788839626.0417686,93.0,3335.7175,2440.831875,26035580
cool-01,17,1,0.532,1788839626.5746257,97.0,3284.2433333333333,2917.8385,26035625
cool-01,17,2,0.045,1788839626.6202774,100.0,3507.1186666666667,2900.026375,26035630
cool-01,17,3,0.051,1788839626.67235,100.0,3459.6419166666665,2900.146875,26035634
cool-01,18,1,6.492,1788839633.165504,97.0,2425.23125,2709.8615,26036314
cool-01,18,2,3.934,1788839637.1009524,96.0,3104.7295,2799.053,26036803
cool-01,18,3,4.008,1788839641.1099017,89.0,2139.063416666667,2223.149875,26037132
cool-01,19,1,0.034,1788839641.1449025,92.0,1733.3896666666667,859.181125,26037132
cool-01,19,2,0.016,1788839641.1615927,97.0,1803.9268333333334,580.54025,26037132
cool-01,19,3,0.013,1788839641.1744685,99.0,2243.5266666666666,580.54025,26037134
cool-01,20,1,2.547,1788839643.7218409,100.0,2994.2701666666667,3299.900875,26037232
cool-01,20,2,0.038,1788839643.7604165,97.0,2592.2305833333335,2517.286125,26037232
cool-01,20,3,0.035,1788839643.795789,94.0,2604.427583333333,2700.11975,26037233
cool-01,21,1,0.265,1788839644.0614254,98.0,2765.7136666666665,1423.7962499999999,26037248
cool-01,21,2,0.22,1788839644.282406,98.0,3138.505833333333,2065.301,26037274
cool-01,21,3,0.203,1788839644.4867582,96.0,2860.0340833333335,2443.912875,26037292
cool-01,22,1,6.908,1788839651.4063406,100.0,1540.2048333333332,1414.667,26037806
cool-01,22,2,0.39,1788839651.7881777,90.0,2709.0668333333333,1972.841875,26037833
cool-01,22,3,0.341,1788839652.1301577,96.0,2602.7961666666665,1026.601375,26037875
cool-01,23,1,0.574,1788839652.7055464,97.0,1374.1520833333334,535.5416250000001,26037933
cool-01,23,2,0.149,1788839652.8545833,100.0,1639.8485,1017.7597499999999,26037948
cool-01,23,3,0.134,1788839652.988988,99.0,1959.8408333333334,1417.2785,26037956
cool-01,24,1,0.105,1788839653.0944366,100.0,1695.8565833333332,2135.907,26037966
