series,observed_epoch_s,package_C,mean_reported_MHz_P,mean_reported_MHz_E,cpu0_package_throttle_count
baseline,1788838927.2223043,64.0,1554.1329166666667,1430.190125,25990421
baseline,1788838932.2529104,98.0,2997.1570833333335,2391.22425,25990629
baseline,1788838937.292336,100.0,2622.5120833333335,2850.162125,25991002
baseline,1788838942.3385637,97.0,4099.999916666667,3299.988125,25991203
baseline,1788838947.3887749,100.0,2118.3596666666667,778.543,25991706
baseline,1788838952.421201,97.0,3000.02225,2599.973875,25992215
baseline,1788838957.4717057,93.0,1329.8771666666667,954.5498749999999,25992608
baseline,1788838962.5067701,97.0,1339.0296666666666,1347.18625,25993077
baseline,1788838967.5758991,97.0,2127.6175,2509.586375,25993633
baseline,1788838972.6119995,100.0,3372.5538333333334,2787.1575,25994202
baseline,1788838977.6471858,100.0,3499.996833333333,2799.990375,25994723
baseline,1788838982.7325072,100.0,1175.1581666666666,787.66175,25995282
baseline,1788838987.7761903,100.0,3399.9968333333336,2800.010375,25995806
baseline,1788838992.8469415,100.0,3262.9295,2700.005375,25996385
baseline,1788838997.9334114,100.0,2899.99975,2499.993875,25997066
baseline,1788839003.0411947,100.0,2900.0021666666667,2499.9828749999997,25997468
baseline,1788839008.098669,100.0,1852.081,1090.989875,25997787
baseline,1788839013.1327155,88.0,1338.3319166666668,812.7629999999999,25998264
baseline,1788839018.1641881,100.0,2695.1986666666667,2400.00925,25998640
baseline,1788839023.2167623,98.0,2286.683666666667,2288.274875,25999130
baseline,1788839028.2552278,90.0,1972.1341666666667,2238.27625,25999619
baseline,1788839033.29119,100.0,2862.5900833333335,2700.160875,26000302
baseline,1788839038.3305206,100.0,1688.7641666666666,1378.181,26000931
baseline,1788839043.3630056,100.0,2728.9909166666666,2685.018375,26001497
baseline,1788839048.4061902,100.0,2695.2685833333335,2400.029375,26002012
baseline,1788839053.51327,100.0,3399.994,2799.9880000000003,26002436
baseline,1788839058.6323967,94.0,3128.5371666666665,2800.01725,26002826
baseline,1788839063.6670365,93.0,3049.605666666667,2700.068375,26002939
baseline,1788839068.706269,94.0,2916.6615,2500.036875,26003140
baseline,1788839073.8190334,93.0,2903.7363333333333,2499.9995,26003141
baseline,1788839078.8805425,96.0,2985.9035,2500.00875,26003145
baseline,1788839083.9381955,96.0,2850.0095833333335,2400.021875,26003145
baseline,1788839089.0365546,100.0,2311.70225,2324.973,26003291
baseline,1788839094.1035197,100.0,2792.822583333333,2400.000875,26003925
baseline,1788839099.1581488,98.0,2592.6784166666666,2299.86275,26004525
baseline,1788839104.2557657,90.0,2647.35175,2042.778625,26005056
baseline,1788839109.2937222,100.0,2561.5204166666667,1165.406375,26005387
baseline,1788839114.3290465,100.0,2886.6255,2598.88625,26005933
baseline,1788839119.3701358,72.0,731.4645,856.1695,26006159
baseline,1788839124.4168909,98.0,1017.9076666666667,564.55625,26006645
baseline,1788839129.465797,82.0,1643.48525,1642.100125,26006935
baseline,1788839134.49876,100.0,3392.0603333333333,2799.933625,26007268
baseline,1788839139.570284,100.0,3099.9975,2599.9811250000002,26007760
baseline,1788839144.6160045,94.0,1654.9640833333333,2315.45,26008355
baseline,1788839149.6501236,87.0,1676.95925,1497.460875,26008791
baseline,1788839154.7201087,100.0,2411.60675,1090.102125,26009421
baseline,1788839159.7848492,100.0,3261.76475,2700.022375,26010183
baseline,1788839164.8532,100.0,4000.0031666666664,3199.98625,26010804
baseline,1788839169.9161885,100.0,3199.997083333333,2699.9991250000003,26011481
baseline,1788839174.9692023,100.0,3100.005,2600.008625,26012157
baseline,1788839180.0412052,100.0,3200.0159166666667,2700.01925,26012685
baseline,1788839185.1392012,100.0,3200.0024166666667,2699.9915,26013409
baseline,1788839190.240202,97.0,2766.6595,2399.999375,26013855
baseline,1788839195.35039,100.0,1867.3190833333333,2103.525,26014235
baseline,1788839200.3861957,89.0,947.7185833333333,1726.5086250000002,26014713
baseline,1788839205.416802,100.0,3291.681666666667,2699.997375,26015112
baseline,1788839210.4899404,98.0,2889.6185,2500.0195,26015612
baseline,1788839215.5423534,81.0,1379.1386666666667,1201.734125,26016078
baseline,1788839220.6149945,73.0,399.99991666666665,1200.019375,26016078
baseline,1788839225.8643064,92.0,2555.530333333333,2400.0985,26016215
baseline,1788839230.9090707,90.0,2492.9885833333333,2600.20675,26016246
baseline,1788839235.9631941,100.0,2782.44375,2400.0122499999998,26016518
baseline,1788839241.0296183,100.0,3235.6544166666667,2723.59625,26016830
baseline,1788839246.0826817,100.0,3680.41025,2899.525,26017211
baseline,1788839251.123072,98.0,3037.08325,2699.9966249999998,26017473
baseline,1788839256.169705,98.0,3153.45775,2599.992375,26017590
baseline,1788839261.2230759,92.0,3156.741666666667,2799.980125,26017677
baseline,1788839266.2692523,93.0,2966.659,2500.017125,26017886
baseline,1788839271.3282526,92.0,2966.6588333333334,2500.007,26017889
baseline,1788839276.462218,93.0,2949.99725,2500.028875,26017893
baseline,1788839281.5715137,92.0,2866.6714166666666,2400.012875,26017898
baseline,1788839286.6450276,93.0,2849.9986666666664,2399.9955,26017903
baseline,1788839291.7871957,96.0,2543.1135,2299.933375,26018303
baseline,1788839296.886485,100.0,1508.8345833333333,753.8675000000001,26018723
baseline,1788839301.9291987,95.0,2566.6735,2399.9865,26019139
baseline,1788839306.9903562,100.0,2771.751166666667,2600.0355,26019303
baseline,1788839312.0397584,100.0,2918.882416666667,2345.782875,26019744
baseline,1788839317.0796597,89.0,2529.3235,1948.249,26020215
baseline,1788839322.1126468,93.0,2074.57425,1479.7225,26020251
baseline,1788839327.1437314,96.0,3744.07375,3300.362,26020586
baseline,1788839332.1751888,100.0,2973.790916666667,2547.139375,26020862
baseline,1788839337.2182076,100.0,3249.400416666667,2713.353125,26021354
baseline,1788839342.261809,100.0,2900.008333333333,2500.002,26021829
baseline,1788839347.313824,100.0,3070.1894166666666,2602.1365,26022306
baseline,1788839352.3603168,98.0,2896.442666666667,2499.8876250000003,26022875
baseline,1788839357.4111357,100.0,3299.98575,2700.006125,26023421
baseline,1788839362.4947417,100.0,2691.9260833333333,2392.0033750000002,26024052
baseline,1788839367.5859823,100.0,2445.5869166666666,2699.9695,26024656
baseline,1788839372.6601913,100.0,2900.0023333333334,2499.979875,26025145
baseline,1788839377.7401996,100.0,3099.98925,2600.023,26025734
baseline,1788839382.8581996,98.0,3364.8345833333333,2763.699125,26026225
baseline,1788839387.926071,100.0,1601.4714999999999,975.44075,26026611
baseline,1788839392.9594152,100.0,3699.9995833333332,3000.008,26026835
baseline,1788839398.0416574,84.0,1966.6781666666666,1899.991625,26026843
baseline,1788839403.1018455,76.0,1271.9733333333334,542.402875,26026843
baseline,1788839408.1476784,76.0,1081.8078333333333,1278.10075,26026843
baseline,1788839413.1972053,73.0,1665.59775,1700.0045,26026843
baseline,1788839418.2679458,68.0,1257.1844166666667,1500.0065,26026843
baseline,1788839423.3794713,67.0,1364.65025,1594.7895,26026843
baseline,1788839428.4471395,88.0,3036.05975,2599.97525,26026843
baseline,1788839433.517108,97.0,2377.5828333333334,2955.016125,26026906
baseline,1788839438.5569034,93.0,2661.0313333333334,2299.931375,26027189
baseline,1788839443.6036727,98.0,2257.0935,1999.76625,26027423
baseline,1788839448.640844,96.0,3256.6415833333335,2750.707375,26027806
baseline,1788839453.6762335,100.0,2978.2936666666665,2875.53075,26028350
baseline,1788839458.732616,92.0,2966.6715,2500.006875,26028734
baseline,1788839463.8313987,92.0,2965.9060833333333,2500.108625,26028821
baseline,1788839468.8758469,89.0,2983.3382500000002,2500.029875,26028888
baseline,1788839473.924202,93.0,2850.0020833333333,2400.011125,26028987
baseline,1788839479.0192504,89.0,2648.0938333333334,2400.927625,26028987
baseline,1788839484.1146204,90.0,2966.6564166666667,2499.98525,26028987
baseline,1788839489.2306483,90.0,2966.684,2500.018,26028987
baseline,1788839494.3316104,100.0,3397.0069166666667,2800.18375,26029043
baseline,1788839499.3891997,93.0,2766.6665,2400.002,26029293
baseline,1788839504.5030608,100.0,3589.74825,3000.01725,26029619
baseline,1788839509.560203,90.0,2663.469,2300.0115,26029850
baseline,1788839514.7027965,97.0,3177.3485,2699.646125,26030110
