leg,query,try,wall_s,cpu_s,busy_cores,gc_count,gc_pause_s
baseline-01,0,1,0.039,0.1,1.8,0,0.0
baseline-01,0,2,0.002,0.0,6.4,0,0.0
baseline-01,0,3,0.001,0.0,0.0,0,0.0
baseline-01,1,1,0.376,4.2,11.2,0,0.0
baseline-01,1,2,0.032,0.2,7.4,0,0.0
baseline-01,1,3,0.029,0.2,7.3,0,0.0
baseline-01,2,1,0.342,4.4,13.0,0,0.0
baseline-01,2,2,0.079,1.0,12.7,0,0.0
baseline-01,2,3,0.061,0.6,10.5,0,0.0
baseline-01,3,1,0.609,6.5,10.7,1,0.07
baseline-01,3,2,0.032,0.3,10.5,0,0.0
baseline-01,3,3,0.087,1.4,16.5,0,0.0
baseline-01,4,1,0.505,7.1,14.1,4,0.12
baseline-01,4,2,0.34,4.4,12.9,0,0.0
baseline-01,4,3,0.294,3.7,12.7,0,0.0
baseline-01,5,1,1.906,26.0,13.6,5,0.1
baseline-01,5,2,0.686,6.5,9.5,1,0.01
baseline-01,5,3,0.638,6.2,9.7,2,0.03
baseline-01,6,1,0.037,0.2,5.5,1,0.0
baseline-01,6,2,0.022,0.1,5.9,0,0.0
baseline-01,6,3,0.02,0.1,5.0,1,0.0
baseline-01,7,1,0.235,2.0,8.5,0,0.0
baseline-01,7,2,0.094,1.0,10.3,0,0.0
baseline-01,7,3,0.088,0.9,10.2,0,0.0
baseline-01,8,1,1.59,23.8,15.0,5,0.13
baseline-01,8,2,0.637,9.8,15.3,1,0.02
baseline-01,8,3,0.617,9.1,14.7,0,0.0
baseline-01,9,1,1.032,16.0,15.5,4,0.09
baseline-01,9,2,0.778,11.5,14.7,1,0.03
baseline-01,9,3,0.693,10.8,15.5,0,0.0
baseline-01,10,1,1.518,15.6,10.2,5,0.22
baseline-01,10,2,0.445,4.0,8.9,2,0.12
baseline-01,10,3,0.239,1.7,7.1,2,0.0
baseline-01,11,1,2.377,20.1,8.4,3,0.18
baseline-01,11,2,0.26,2.0,7.7,2,0.0
baseline-01,11,3,0.239,1.6,6.7,1,0.02
baseline-01,12,1,2.154,24.5,11.4,4,0.11
baseline-01,12,2,0.745,9.4,12.6,1,0.03
baseline-01,12,3,0.736,9.5,12.9,1,0.03
baseline-01,13,1,2.975,31.1,10.4,8,0.45
baseline-01,13,2,2.728,33.4,12.2,13,0.51
baseline-01,13,3,2.376,26.6,11.2,9,0.39
baseline-01,14,1,2.551,39.0,15.3,6,0.11
baseline-01,14,2,1.005,13.4,13.3,2,0.1
baseline-01,14,3,0.974,13.5,13.9,4,0.05
baseline-01,15,1,1.202,20.9,17.4,1,0.11
baseline-01,15,2,0.42,8.0,19.1,0,0.0
baseline-01,15,3,0.428,7.9,18.5,0,0.0
baseline-01,16,1,4.461,66.5,14.9,8,0.27
baseline-01,16,2,2.1,28.3,13.5,1,0.02
baseline-01,16,3,2.119,29.1,13.7,4,0.05
baseline-01,17,1,0.24,3.1,12.9,0,0.0
baseline-01,17,2,0.047,0.3,5.3,0,0.0
baseline-01,17,3,0.056,0.3,4.7,0,0.0
baseline-01,18,1,8.213,125.7,15.3,10,0.34
baseline-01,18,2,4.16,64.6,15.5,2,0.24
baseline-01,18,3,4.0,64.1,16.0,3,0.01
baseline-01,19,1,0.031,0.0,1.0,0,0.0
baseline-01,19,2,0.013,0.0,2.4,0,0.0
baseline-01,19,3,0.012,0.0,2.5,0,0.0
baseline-01,20,1,2.925,27.8,9.5,6,0.09
baseline-01,20,2,0.036,0.5,12.4,0,0.0
baseline-01,20,3,0.024,0.4,16.3,0,0.0
baseline-01,21,1,0.37,3.4,9.1,0,0.0
baseline-01,21,2,0.287,3.3,11.6,0,0.0
baseline-01,21,3,0.194,2.6,13.4,0,0.0
baseline-01,22,1,8.489,28.2,3.3,6,0.12
baseline-01,22,2,0.479,2.7,5.7,0,0.0
baseline-01,22,3,0.328,2.8,8.6,0,0.0
baseline-01,23,1,0.769,3.9,5.1,0,0.0
baseline-01,23,2,0.129,0.4,3.3,0,0.0
baseline-01,23,3,0.126,0.4,3.1,0,0.0
baseline-01,24,1,0.112,0.2,1.8,0,0.0
baseline-01,24,2,0.016,0.0,2.5,0,0.0
baseline-01,24,3,0.017,0.0,1.8,0,0.0
baseline-01,25,1,0.319,2.1,6.5,0,0.0
baseline-01,25,2,0.094,0.7,7.2,0,0.0
baseline-01,25,3,0.087,0.7,7.5,0,0.0
baseline-01,26,1,0.035,0.1,2.0,0,0.0
baseline-01,26,2,0.022,0.1,2.7,0,0.0
baseline-01,26,3,0.111,1.4,12.8,1,0.09
baseline-01,27,1,1.745,27.0,15.4,4,0.13
baseline-01,27,2,0.222,3.5,15.6,0,0.0
baseline-01,27,3,0.193,3.5,18.2,0,0.0
baseline-01,28,1,13.574,137.3,10.1,33,0.67
baseline-01,28,2,8.671,76.0,8.8,22,0.46
