query,mean_hot_s,min_hot_s,max_hot_s,variance_ln,covariance_with_suite,variance_share,paired_variance_share,observed_range_contribution,loo_variance_share_min,loo_variance_share_max,selected_hot_zero_gc_count,selected_hot_zero_gc_time
6,0.0215,0.011,0.031,0.038344229504828936,0.11777189354064997,0.15012640942612604,0.13092854089013922,0.41985384556026417,0.1405370778954383,0.164751074604199,13,20
3,0.04315,0.033,0.126,0.0651913513234496,0.07861216177869808,0.10020864257386,0.1393522826241152,0.19004360288786493,0.0706747257183788,0.12780711685621504,19,19
42,0.03935,0.031,0.054,0.01083396512504542,0.059693395845679835,0.07609247771558658,0.08262380698852331,0.1929036661244914,0.06878070009692074,0.08442924497470493,20,20
21,0.18475,0.108,0.207,0.019112537215794503,0.054582502307364875,0.0695775099011175,0.10531113924406445,0.2170645052378275,0.02855292449237287,0.08142055897114307,20,20
2,0.04455,0.035,0.057,0.018256558657567114,0.04725332198811773,0.06023484339312403,0.034950438239404955,0.276986783335033,0.04492857188119451,0.06974013435933772,20,20
19,0.01225,0.009,0.015,0.006340846379876868,0.045094794894101266,0.0574833216799926,0.04967975214109858,0.18232155679395456,0.04956363315436511,0.06857099469160863,20,20
20,0.03145,0.021,0.049,0.0221063973723073,0.04344171140819323,0.05537609999271168,0.04975265401285946,0.10536051565782656,0.02116693408568935,0.0712161394007869,20,20
24,0.017750000000000002,0.015,0.021,0.003996233374866231,0.04244508795573933,0.054105682272756014,0.045696919626333314,0.14310084364067344,0.04996583582810748,0.06219526793860054,20,20
39,0.28355,0.141,0.35,0.0420762972763902,0.0401126456386364,0.05113246701966717,0.058962609084857925,-0.09531017980432521,0.03474438778385991,0.07532395118867079,20,20
23,0.11915,0.07,0.142,0.02774821786906545,0.03410908601728989,0.04347959821852714,0.06533589852924025,-0.04746653723892358,0.01739956018739918,0.07186262596748146,20,20
17,0.048799999999999996,0.041,0.064,0.010052146267786631,0.031482385660709065,0.04013128580444768,0.045233229443254364,0.17904823144898518,0.023867282453547006,0.050715295409153004,20,20
7,0.0219,0.012,0.032,0.031957230711802856,0.029725009207717486,0.03789111959020077,0.06415949863690053,0.054067221270275745,0.006621623913005364,0.06286909833147972,20,20
25,0.10625,0.075,0.207,0.040505654282719655,0.028227394232349646,0.035982077014799135,0.038946669832098144,0.06637506894487277,0.020132235483190642,0.050863621833422884,16,19
38,0.0402,0.035,0.045,0.002527010562646738,0.02323076179869447,0.02961276033035723,0.03164275206198442,0.08004270767353638,0.025030234156114047,0.03497242813465747,20,20
