query,mean_hot_s,min_hot_s,max_hot_s,variance_ln,covariance_with_suite,variance_share,paired_variance_share,observed_range_contribution,loo_variance_share_min,loo_variance_share_max,selected_hot_zero_gc_count,selected_hot_zero_gc_time
42,0.1295,0.046,0.182,0.15139512236259353,0.23956171922243916,0.22712316420504364,0.13002181479818353,1.0622446444972347,0.17798767245657038,0.2564089655637199,20,20
25,0.0864,0.067,0.108,0.01564613000997257,0.0874787139499978,0.08293663268655639,0.0669617527344713,0.24027983355719718,0.07496843138403313,0.09075512908038096,20,20
7,0.023450000000000002,0.014,0.04,0.033427020143440386,0.07873505291555849,0.07464696116756778,0.10289375058324397,0.3772942311414682,0.05367046018385544,0.09289014090968864,20,20
22,0.31585,0.25,0.439,0.023008647540910306,0.07466161414459956,0.07078502401893406,0.02234259125604817,0.08755589102431971,0.05370688117893876,0.08520774612259145,5,5
36,0.07295,0.058,0.114,0.023222271062853777,0.06503295642227584,0.06165630672620623,0.039619264710241804,0.05064373281875478,0.0557226971218768,0.07800956238389632,20,20
39,0.24,0.124,0.36,0.08307708988448644,0.05196636140536054,0.049268157170174486,0.05939734564297985,-0.13220542557941872,0.03644679682751591,0.08958780636223236,19,19
27,0.2528,0.203,0.291,0.008673810605961925,0.05180211424533464,0.04911243807274166,0.0632011181466219,-0.0036429912785009844,0.0392550389051353,0.06339595048025444,20,20
6,0.02275,0.011,0.031,0.02412492606204855,0.047218676504765814,0.04476698218791305,0.023799829475606656,0.19782574332991976,0.03302482305858098,0.05729446635178115,13,20
41,0.05535,0.039,0.061,0.009513469290543917,0.047028222153395305,0.04458641663236315,0.021015233650126124,0.37085957893068855,0.022469802994593745,0.05046409336306201,20,20
2,0.0468,0.036,0.08,0.020529920259074075,0.044943121702094704,0.042609579040272606,0.05263613775165053,0.5679840376059393,-0.0007741808659329696,0.05547990538316224,20,20
37,0.04605,0.041,0.067,0.01096483469231105,0.03441774434726635,0.03263070170945401,0.03826095002247528,-0.07275935428242852,0.012923656543698234,0.044395198759964664,20,20
1,0.033,0.027,0.045,0.012992746114688578,0.03372709971292093,0.03197591681642977,0.03440700651267687,0.0779615414697119,0.02247179572223631,0.04532144808750489,20,20
11,0.24515,0.217,0.317,0.008021661591480305,0.03334354892754399,0.03161228080525533,-0.0008893316738733096,0.016326893287428534,0.019927973127478762,0.04249583062647495,3,6
29,0.05215,0.042,0.059,0.0035683481675522384,0.02688699084881532,0.02549096098222938,0.02397874065594822,0.016260520871780537,0.01530868976622705,0.03045484112144114,20,20
26,0.01935,0.016,0.024,0.005790300034582829,0.02672536196717002,0.025337724216583545,0.06978429862490863,0.20763936477824452,0.017067507787091013,0.03754354433060697,20,20
21,0.16855,0.113,0.237,0.036506130860735835,0.02540799877269551,0.024088761326738456,0.06618793708269569,0.03208831455150074,0.006189254717020021,0.04238922954819484,10,10
20,0.035,0.022,0.046,0.026550290241231074,0.023339275172306433,0.02212745026455767,0.04627388433126146,0.24294617861038947,0.011071204382307598,0.04471763641702755,20,20
31,1.50335,1.395,1.642,0.0022892779225165086,0.019299597477534295,0.018297521245083326,0.04138252395448156,0.0924519055927453,0.01274992205322645,0.02131476557369311,4,4
23,0.07375,0.062,0.081,0.003500926644043987,0.012967465111915854,0.012294166686966104,0.021887857078337656,0.04762804898925466,0.0069129389015529915,0.016134051616068616,20,20
38,0.03925,0.033,0.046,0.006296609680808166,0.012559930883323056,0.011907792504061225,-0.0012444817736605765,-0.10109611687136888,0.003774543378411992,0.02021404577700812,20,20
13,2.5122,2.336,2.87,0.005226532666683163,0.010241375662929621,0.009709621612029349,0.03596914997288146,-0.008166209059666585,-0.0022125402203899995,0.02397809786982609,0,0
40,0.04405,0.04,0.048,0.002433395629009261,0.009220903086281505,0.008742134146398052,0.01774983985477692,0.07696104113612834,0.0021529784529902085,0.012922418878490508,20,20
24,0.01995,0.017,0.024,0.003954724010113998,0.008026066231542478,0.0076093357676005145,0.0070757011477596944,0.06453852113757108,7.168119747490754e-05,0.015391545610892588,20,20
17,0.04805,0.039,0.057,0.008673872410655006,0.0052389590346191214,0.004966941116240919,0.010849169892259264,0.05505977718302746,-0.0048728622805037924,0.012858773063070534,20,20
30,0.51735,0.51,0.53,8.854716496861135e-05,0.004980379699324004,0.004721787771120148,0.004164163372443429,0.011363758650315026,0.0034708146263968073,0.005299705453648945,20,20
16,2.00795,1.966,2.089,0.0003057301646232762,0.004186251208545128,0.0039688921240338924,0.009143866281635252,0.030222761022379974,0.0026928747022861147,0.005846138259783321,0,0
28,8.4297,8.119,8.646,0.0002853704656395464,0.0038183231761585138,0.0036200676992192106,0.003499222459482258,0.026245743394734067,0.0024625516490909,0.005560524591977293,0,0
33,2.2216,2.18,2.34,0.0002571749226925307,0.0037614011775465753,0.003566101212087707,0.009584113727269606,-0.02659731251926578,0.0002640729013789366,0.006804740377088538,0,0
12,0.7665,0.745,0.802,0.00046431707853564105,0.002736706720427606,0.0025946110750173002,-0.005427052497759912,0.0065833022491974535,0.00037863601392993995,0.00513067338001137,0,0
34,2.1515,2.11,2.226,0.00030517747405673246,0.0023244924861398554,0.0022037998822872075,0.004521636568002603,0.004082564073710326,0.0002302869112094034,0.004635051281227478,0,0
5,0.654,0.625,0.68,0.0005243278933481663,0.0020998461120413656,0.001990817626699605,0.006521889319221327,0.013605652055778794,-0.0006188293464386533,0.004428822480677439,0,1
